target,target_end_date,location,type,quantile,value,forecast_date,scenario_id,board_name,submission_date,horizon,location_name
1 wk ahead inc case,2021-03-13,AT,quantile,0.01,14305.5148071599,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.025,14673.1058875405,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.05,14996.8916903743,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.1,15379.1806240514,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.15,15642.6656580412,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.2,15855.3295886463,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.25,16040.1065614372,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.3,16207.8984198138,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.35,16364.967745883,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.4,16515.4352357623,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.45,16662.3466690639,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.5,16808.22,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.55,16955.3856858086,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.6,17106.2579069973,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.65,17263.6242347007,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.7,17431.0503902499,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.75,17613.5734942137,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.8,17819.098642351,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.85,18061.728620734,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.9,18371.7684134948,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.95,18841.2303366769,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.975,19258.2410803043,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc case,2021-03-13,AT,quantile,0.99,19754.8668221807,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.01,107.291812114072,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.025,113.575349388688,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.05,119.273236687572,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.1,126.19837597601,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.15,131.096595724237,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.2,135.12484728815,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.25,138.679277866252,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.3,141.950916308077,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.35,145.051467378159,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.4,148.056214126929,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.45,151.02259858655,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.5,154,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.55,157.036127877033,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.6,160.182514602416,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.65,163.500852600389,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.7,167.07233801114,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.75,171.014145741724,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.8,175.513124104634,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.85,180.906903409453,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.9,187.929730996792,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.95,198.843460832828,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.975,208.821707554478,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
1 wk ahead inc death,2021-03-13,AT,quantile,0.99,221.055140121796,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,1,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.01,14252.6419441631,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.025,14800.5906758568,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.05,15289.5965928007,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.1,15874.5639261449,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.15,16282.5033588606,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.2,16614.5769786948,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.25,16905.1398089283,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.3,17170.6263051771,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.35,17420.5509346213,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.4,17661.2400073379,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.45,17897.4354996118,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.5,18133.1266666667,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.55,18372.0786908636,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.6,18618.2684314918,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.65,18876.3668664047,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.7,19152.4308416387,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.75,19455.1047511405,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.8,19798.0591835073,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.85,20205.8318142876,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.9,20731.449076845,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.95,21537.0052180708,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.975,22262.2589542458,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc case,2021-03-20,AT,quantile,0.99,23137.7908099978,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.01,103.313583150138,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.025,110.187997160143,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.05,116.468753319026,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.1,124.160100706883,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.15,129.63717174316,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.2,134.16365862892,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.25,138.173956870409,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.3,141.878375813435,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.35,145.400526985627,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.4,148.82430237101,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.45,152.21430155806,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.5,155.626666666667,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.55,159.116271602678,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.6,162.743029018639,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.65,166.579311753582,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.7,170.72103620104,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.75,175.307337498067,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.8,180.560954925813,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.85,186.88568540087,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.9,195.162459264283,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.95,208.115792598628,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.975,220.052143496123,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
2 wk ahead inc death,2021-03-20,AT,quantile,0.99,234.802927301951,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,2,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.01,14604.1091076001,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.025,15294.7883659575,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.05,15916.8533858527,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.1,16667.8748558702,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.15,17195.9665838989,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.2,17628.4417495285,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.25,18008.7404801185,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.3,18357.7395531151,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.35,18687.5957167295,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.4,19006.4562605641,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.45,19320.4925034103,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.5,19634.9633333333,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.55,19954.902564606,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.6,20285.6997115295,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.65,20633.7593109357,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.7,21007.4626923776,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.75,21418.8542832234,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.8,21887.0804320539,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.85,22446.6519133346,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.9,23172.444646788,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.95,24294.4638696042,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.975,25314.4460955306,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc case,2021-03-27,AT,quantile,0.99,26557.8752887311,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc death,2021-03-27,AT,quantile,0.01,104.377634998033,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc death,2021-03-27,AT,quantile,0.025,112.265172903654,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc death,2021-03-27,AT,quantile,0.05,119.534777485397,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc death,2021-03-27,AT,quantile,0.1,128.515645765449,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc death,2021-03-27,AT,quantile,0.15,134.961677550328,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc death,2021-03-27,AT,quantile,0.2,140.319693320097,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc death,2021-03-27,AT,quantile,0.25,145.089333514584,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
3 wk ahead inc death,2021-03-27,AT,quantile,0.3,149.513660906294,2021-03-08,forecast,EpiExpert-ensemble,2021-03-08,3,Austria
